ACCELEROMETER X (m/sì),ACCELEROMETER Y (m/sì),ACCELEROMETER Z (m/sì),GRAVITY X (m/sì),GRAVITY Y (m/sì),GRAVITY Z (m/sì),LINEAR ACCELERATION X (m/sì),LINEAR ACCELERATION Y (m/sì),LINEAR ACCELERATION Z (m/sì),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (?T),MAGNETIC FIELD Y (?T),MAGNETIC FIELD Z (?T),ORIENTATION Z (azimuth ›),ORIENTATION X (pitch ›),ORIENTATION Y (roll ›),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (›),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.437,3.5853,5.2379,-1.29,5.44,8.06,0.89,-1.25,-1.96,0.3846,-0.3846,-0.0522,258,-21.44,-60.81,-54.25,127.36,-33.48,11.71,2,1014.29,47.357,54.97691,-1.61501,338.71,NaN,,4.79,54.83871,214.8,13 / 22,26,2016-02-03 15:28:42:707
0.0479,4.9625,7.7599,-1.72,6.14,7.45,0.92,0.39,-1.49,-2.0357,-1.698,0.2876,212,-23.25,-66.62,-53.87,123.11,-38.77,13,2,1014.28,46.112,54.97691,-1.61501,338.71,NaN,,4.79,54.83871,214.8,13 / 22,525,2016-02-03 15:28:43:206
-1.1424,4.5697,6.7947,-0.1,5.44,8.16,-0.68,-1.35,4.28,0.2493,1.3891,0.2216,291,-25.81,-69.56,-54.25,137.74,-34.71,-2.28,2,1014.26,36.565,54.976913,-1.615084,335.48,NaN,,4.52,51.612904,218.7,13 / 22,1026,2016-02-03 15:28:43:707
-3.8344,1.9903,10.653,-1.61,3.58,8.99,-2.54,0.67,5.06,0.7968,0.1097,0.8011,328,-33.87,-67,-60.94,127.19,-27.64,12.29,2,1014.25,38.315,54.976913,-1.615084,335.48,NaN,,4.52,51.612904,218.7,13 / 22,1524,2016-02-03 15:28:44:205
-0.8957,6.1887,8.4353,-2.53,5.12,7.97,1.07,0.51,2.88,0.0032,-1.2421,-0.2365,404,-37.12,-65.19,-56.19,126.78,-27.32,13.75,2,1014.25,40.482,54.976913,-1.615139,358.06,NaN,,4.09,64.51613,209.3,13 / 22,2025,2016-02-03 15:28:44:706
1.6262,6.8522,4.7733,-1.48,7.32,6.35,1.22,-0.49,1.4,2.0368,-1.2719,-0.5486,216,-32,-70.31,-43.69,125.59,-41.14,15.96,2,1014.28,38.042,54.976913,-1.615139,358.06,NaN,,4.09,64.51613,209.3,13 / 22,2525,2016-02-03 15:28:45:206
-4.8523,9.8292,2.1723,-3.01,9.02,2.38,-2.87,-0.37,0.72,1.714,-3.2214,0.0703,215,-14.44,-67.37,-31.5,135.4,-50.21,33.77,2,1014.25,43.196,54.97691,-1.615187,322.58,NaN,,3.31,12.903226,215.6,13 / 22,3025,2016-02-03 15:28:45:706
-3.4369,12.9595,5.1277,2.45,9.09,2.74,0.77,-5.08,-1.71,-0.3526,1.3614,-2.4096,538,-24.69,-71.06,-51.56,327.1,-67.98,-41.8,2,1014.26,47.919,54.97691,-1.615187,322.58,NaN,,3.31,12.903226,215.6,13 / 22,3525,2016-02-03 15:28:46:206
-3.8177,6.457,-0.2419,-0.01,9.67,1.65,-3.12,-2.38,-1.32,-0.2471,-0.4186,0.7169,149,-25.81,-76.87,-32.31,134.74,-63.18,59.72,2,1014.3,50.582,54.976917,-1.615211,306.45,NaN,,4.17,9.677419,222.1,13 / 22,4025,2016-02-03 15:28:46:706
-8.9214,8.3419,0.0216,-2.91,9.2,-1.76,-4.26,-2.44,2.54,0.2067,1.0855,-0.1225,90,-14.81,-69.19,-26.81,41.25,-80.86,5.89,2,1014.29,43.494,54.976917,-1.615211,306.45,NaN,,4.17,9.677419,222.1,13 / 22,4525,2016-02-03 15:28:47:206
2.007,10.1908,2.3016,1.44,9.61,-1.32,-0.55,0.44,8.74,0.8916,0.2919,-0.2738,0,-30.19,-73.62,-25.62,170.51,-84.77,121.73,0,1014.33,49.503,54.976913,-1.615225,309.68,NaN,,3.79,9.677419,216.6,13 / 22,5025,2016-02-03 15:28:47:706
-0.4742,8.1694,0.0982,0.53,9.78,-0.53,4.25,3.9,1.65,1.208,2.9604,0.5209,8,-3.5,6.25,13.75,105.94,-82.53,-58.8,0,1014.34,51.03,54.976913,-1.615225,309.68,NaN,,3.79,9.677419,216.6,13 / 22,5525,2016-02-03 15:28:48:206
-0.7017,10.1764,-6.6342,1.4,8.73,-4.23,-0.09,4.82,5.47,-1.4882,0.2716,0.0831,0,-4.62,5.88,25.13,8.66,-67.12,-160.24,0,1014.34,46.099,54.976894,-1.615224,316.13,NaN,,5.04,9.677419,212.5,13 / 22,6025,2016-02-03 15:28:48:706
0.9269,11.6302,-2.3184,1.19,9.72,-0.49,5.16,5.24,0.71,1.1761,1.2794,0.1726,0,-4.25,-1.81,13.31,85,-78.88,-79.64,0,1014.33,47.132,54.976894,-1.615224,316.13,NaN,,5.04,9.677419,212.5,13 / 22,6525,2016-02-03 15:28:49:206
2.1172,11.8266,3.5614,1.26,8.58,-4.59,-1.69,4.46,5.04,-1.2986,-0.0288,0.0469,0,-6.06,6.63,26.25,5.99,-65.31,-160.9,0,1014.37,45.982,54.97687,-1.615224,312.9,NaN,,5.41,9.677419,204,13 / 22,7025,2016-02-03 15:28:49:706
1.3676,13.6995,5.7001,2.1,9.58,0.03,-6.17,6.44,-0.19,0.9438,-0.6924,0.0373,0,-8.62,1.88,4.69,29.27,-77.63,-89.18,0,1014.34,44.104,54.97687,-1.615224,312.9,NaN,,5.41,9.677419,204,13 / 22,7524,2016-02-03 15:28:50:205
6.0187,11.4626,-1.3197,1.86,8.28,-4.92,2.83,5.18,4.56,-1.3177,-1.0472,-0.1779,0,-3.87,10.25,26.25,13.63,-59.84,-156.82,0,1014.39,51.218,54.97685,-1.615235,312.9,NaN,,5.58,9.677419,210.4,13 / 22,8024,2016-02-03 15:28:50:705
-4.1506,16.9352,-2.6106,2.83,9.38,-0.29,-3.83,7.16,0.34,-0.7297,-0.5326,0.2834,29,-6.06,2.56,5.44,17.34,-72.2,-130.81,0,1014.37,48.468,54.97685,-1.615235,312.9,NaN,,5.58,9.677419,210.4,13 / 22,8525,2016-02-03 15:28:51:206
-3.8847,5.8558,8.2508,-1.67,8.35,4.86,-5.61,-3.52,-2,-1.1931,0.6402,3.526,95,3.81,8.81,-12.56,1.55,-58.39,18.96,2,1014.33,45.571,54.976833,-1.61525,312.9,NaN,,6.09,9.677419,210.5,13 / 22,9025,2016-02-03 15:28:51:706
-2.201,4.5889,6.948,-3.28,6.49,6.58,-0.77,-0.3,-1.34,-1.8418,-1.7556,-0.0746,117,5.25,11.38,-21.56,27.03,-47.3,42.44,0,1014.31,44.021,54.976833,-1.61525,312.9,NaN,,6.09,9.677419,210.5,13 / 22,9524,2016-02-03 15:28:52:205
-0.879,4.8763,6.5695,-1.91,5.85,7.63,1.33,-2.96,-3.48,0.6093,-0.1704,0.0437,536,0.5,9.56,-25.06,12.7,-36.64,14.05,2,1014.29,45.649,54.976833,-1.61525,312.9,NaN,,6.09,9.677419,210.5,13 / 22,10024,2016-02-03 15:28:52:705
-0.7472,4.6918,5.1708,-1.81,6.2,7.38,-1.29,-1.16,-2.75,0.1886,-0.5529,0.2546,541,0.88,8.81,-23.12,6.07,-31.55,7.7,2,1014.29,44.514,54.97683,-1.615238,312.9,NaN,,3.21,9.677419,209.8,13 / 22,10524,2016-02-03 15:28:53:205
-0.6251,4.2679,3.7434,-0.8,6.18,7.57,-0.87,-2.18,-0.45,-0.1545,0.066,-0.3846,519,1.25,9.88,-24.69,3.97,-39.07,6.03,2,1014.3,41.49,54.976826,-1.615255,309.68,NaN,,3.06,9.677419,210.1,13 / 22,11024,2016-02-03 15:28:53:705
-0.9221,5.3529,8.0425,-1.35,6.13,7.54,-1.45,-0.82,0,0.2887,0.4708,0.3377,507,1.63,7.69,-22.75,3.22,-40.2,7.9,2,1014.31,41.061,54.976826,-1.615255,309.68,NaN,,3.06,9.677419,210.1,13 / 22,11525,2016-02-03 15:28:54:206
0.752,2.031,8.6197,-1.26,5.96,7.68,-2.04,0.64,-0.67,-0.6253,0.7915,0.4708,458,1.25,10.63,-25.44,7.32,-37.45,9.32,2,1014.29,41.456,54.976807,-1.615268,316.13,NaN,,5.5,12.903226,210.6,13 / 22,12025,2016-02-03 15:28:54:706
-1.2502,5.1469,5.1301,-1.39,5.49,8.01,-2.78,-1.03,1.7,-0.0799,-0.1907,0.5198,544,1.56,12.06,-26.62,7.59,-36.54,12.61,2,1014.26,42.871,54.976807,-1.615268,316.13,NaN,,5.5,12.903226,210.6,13 / 22,12525,2016-02-03 15:28:55:206
