ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.05,3.65,10.2004,-2.14,3.45,8.93,-1.33,0.19,1.22,-1.1558,-0.9875,-0.6924,44.0,27.88,-60.44,-27.69,207.88,-24.32,11.75,2.0,972.0,33.126,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,8,2016-02-09 14:36:51:495
-0.1964,1.4418,7.6329,-0.15,0.86,9.77,-0.12,1.23,-2.93,3.7646,-1.6767,0.8149,815.0,23.5,-43.19,-36.37,206.43,4.62,10.61,2.0,972.0,33.855,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,502,2016-02-09 14:36:51:989
0.3018,3.2261,7.5228,1.79,3.36,9.04,-1.89,0.5,-1.71,0.8586,0.686,0.9065,60.0,5.56,-58.19,-28.12,193.51,-14.89,-12.36,2.0,971.99,34.089,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,1003,2016-02-09 14:36:52:490
14.7054,15.0743,-12.2505,7.72,5.16,3.16,2.82,-1.63,2.94,0.2535,-2.7122,3.738,45.0,-20.81,-46.87,8.06,166.54,-44.48,-26.13,2.0,971.99,33.281,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,1503,2016-02-09 14:36:52:990
6.6749,8.6843,-1.3987,5.17,7.22,-4.16,3.4,4.16,2.51,0.3941,0.1055,1.5649,8.0,-3.25,-49.81,23.75,150.69,-35.41,-109.75,0.0,972.0,33.754,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,2002,2016-02-09 14:36:53:489
9.7645,9.0723,-6.0714,5.03,8.07,-2.42,4.12,-2.68,-1.4,-0.2205,1.0269,0.4623,6.0,1.88,-56.75,23.75,134.42,-59.17,-114.58,0.0,972.0,33.522,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,2502,2016-02-09 14:36:53:989
6.1241,8.3706,-8.2916,6.73,6.06,-3.76,3.55,-2.2,0.49,-0.2993,1.6533,-1.1004,4.0,-7.25,-45.44,27.31,139.6,-32.1,-123.96,0.0,971.99,32.264,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,3002,2016-02-09 14:36:54:489
6.5863,4.1242,-4.244,8.07,5.18,-2.06,0.28,-0.11,1.01,-0.7361,-0.5103,-0.4613,0.0,-12.75,-33.69,22.63,135.22,-31.88,-104.32,0.0,971.97,32.534,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,3503,2016-02-09 14:36:54:990
8.2987,2.0477,-3.0704,7.3,4.76,-4.49,1.08,-2.65,2.13,-0.0969,0.8139,0.0181,0.0,-17.12,-28.19,16.69,156.99,-29.05,-121.59,0.0,971.99,35.159,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,4003,2016-02-09 14:36:55:490
4.893,2.3519,-1.4801,7.43,5.08,-3.88,0.35,0.47,2.28,-0.2088,0.6466,0.3984,0.0,-21.12,-31.87,6.06,195.13,-31.22,-117.57,0.0,972.0,35.204,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,4503,2016-02-09 14:36:55:990
5.099,3.6596,-5.4559,7.47,2.51,-5.84,-2.43,1.03,0.75,-0.2663,0.4953,-0.2908,0.0,-20.06,-26.75,20.25,142.37,-24.78,-113.43,0.0,972.0,33.897,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,5003,2016-02-09 14:36:56:490
8.9741,6.8977,-1.7196,7.12,5.59,-3.78,1.96,1.62,2.66,-1.7268,0.7819,-0.2407,0.0,-22.62,-41.37,17.88,180.17,-26.9,-128.18,0.0,971.96,34.505,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,5503,2016-02-09 14:36:56:990
10.1477,6.5121,2.2968,6.86,6.71,-2.03,5.76,-0.46,0.69,0.3185,-0.9683,-0.2866,0.0,-24.06,-51.25,8.06,163.5,-42.28,-94.03,0.0,971.99,36.82,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,6003,2016-02-09 14:36:57:490
12.6218,7.9371,-4.6487,7.16,5.73,-3.47,1.5,-0.2,-6.49,1.29,-1.1974,0.032,4.0,-24.81,-37.75,19.44,192.52,-32.29,-127.6,0.0,971.97,37.314,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,6503,2016-02-09 14:36:57:990
7.3048,11.6446,-1.5017,8.12,5.48,0.3,0.08,4.46,0.11,0.4772,0.5262,-0.0064,0.0,-29.94,-35.87,8.06,158.61,-37.14,-93.81,0.0,971.96,37.574,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,7003,2016-02-09 14:36:58:490
4.802,3.753,-2.6776,7.82,3.85,-4.5,-3.63,-1.81,2.94,0.2376,1.9739,-0.8522,0.0,-29.19,-25.31,26.13,134.89,-23.11,-119.92,0.0,971.96,33.143,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,7503,2016-02-09 14:36:58:990
8.1215,4.3015,-1.7172,8.39,4.85,-1.53,-4.28,-0.22,1.75,-1.1675,-0.3835,0.49,0.0,-29.94,-37.0,12.75,155.72,-29.63,-100.33,0.0,971.96,35.593,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,8003,2016-02-09 14:36:59:490
5.6379,1.631,-5.5325,7.44,3.71,-5.21,-2.6,-2.15,3.55,-0.7212,2.154,-0.3771,0.0,-19.31,-33.69,27.69,136.49,-24.53,-116.08,0.0,971.95,34.38,54.980026,-1.60947,,165.5809651466962,,,239.51613,,6 / 21,8503,2016-02-09 14:36:59:990
5.8031,5.7361,-1.1568,8.24,5.31,-0.35,-1.04,0.16,0.59,-1.5446,0.685,-0.2727,1.0,-24.81,-41.0,6.88,163.49,-28.38,-111.78,0.0,971.95,32.258,54.980026,-1.60947,,165.5809651466962,,,239.51613,,6 / 21,9003,2016-02-09 14:37:00:490
4.0691,1.4849,0.9604,9.13,3.49,-0.8,-5.37,-1.59,0.59,1.2496,-1.8386,0.2631,0.0,-25.19,-36.25,1.38,185.11,-21.86,-92.65,0.0,971.97,31.47,54.980026,-1.60947,,165.5809651466962,,,239.51613,,6 / 21,9502,2016-02-09 14:37:00:989
8.6077,4.1386,-4.4619,8.15,4.5,-3.09,3.17,0.81,0.58,-0.7989,1.4775,0.8607,0.0,-24.81,-35.19,8.06,184.15,-27.31,-110.76,0.0,972.0,33.0,54.980026,-1.60947,,165.5809651466962,,,239.51613,,8 / 21,10002,2016-02-09 14:37:01:489
7.1563,3.1518,-2.8692,8.52,4.62,-1.52,4.71,-2.51,0.54,0.5337,-0.995,0.2589,0.0,-21.12,-38.44,19.81,144.13,-28.09,-100.12,0.0,972.0,31.89,54.98007,-1.609534,300.0,165.5809651466962,,0.0,64.51613,,7 / 21,10503,2016-02-09 14:37:01:990
9.2951,5.5277,-1.3771,8.37,4.92,-1.36,4.43,-0.46,-1.67,-0.8021,2.4288,-0.1076,0.0,-19.69,-40.62,19.44,158.06,-27.38,-110.79,0.0,972.01,32.035,54.98007,-1.609534,300.0,165.5809651466962,,0.0,64.51613,,7 / 21,11003,2016-02-09 14:37:02:490
